RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           47     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  316  457     1     5  con    1   5.2D-01   4.5D-01  1.853D+01  3.986D+03
  317  458     1     5  con    0   1.0D+00   3.8D-01  1.854D+01  3.986D+03
  318  459     1     5  con    0   1.0D+00   6.4D-01  1.854D+01  3.986D+03
  319  461     1     5  con    1   5.3D-01   5.4D-01  1.854D+01  3.986D+03
  320  462     1     5  con    0   1.0D+00   1.2D+00  1.854D+01  3.985D+03
  321  464     1     5  con    1   5.1D-01   8.8D-02  1.609D+01  3.985D+03
  322  465     1     4  bnd    0   1.0D+00   7.8D-01  1.854D+01  3.985D+03
  323  467     1     5  con    1   3.0D-01   3.8D-01  1.855D+01  3.985D+03
  324  468     1     5  con    0   1.0D+00   4.5D-01  1.855D+01  3.985D+03
  325  469     1     5  con    0   1.0D+00   7.0D-01  1.855D+01  3.985D+03
  326  471     1     5  con    1   4.0D-01   4.0D-01  1.855D+01  3.985D+03
  327  473     1     5  bnd    1   4.4D-01   6.6D-01  1.855D+01  3.985D+03
  328  474     1     5  con    0   1.0D+00   7.7D-01  1.856D+01  3.985D+03
  329  475     1     5  con    0   1.0D+00   2.7D-01  2.224D+01  3.985D+03
  330  477     1     3  bnd    1   2.4D-01   6.1D-01  1.856D+01  3.985D+03
  331  479     1     5  bnd    1   1.6D-01   3.6D-01  1.856D+01  3.985D+03
  332  480     1     5  bnd    0   1.0D+00   4.0D-01  1.856D+01  3.985D+03
  333  481     1     6  bnd    0   1.0D+00   5.6D-01  1.857D+01  3.985D+03
  334  482     1     7  con    0   1.0D+00   5.7D-01  1.857D+01  3.985D+03
  335  484     1     7  bnd    1   2.4D-01   4.1D-01  1.858D+01  3.985D+03
  336  485     1     7  con    0   1.0D+00   8.4D-01  1.859D+01  3.985D+03
  337  486     1     7  con    0   1.0D+00   1.9D-01  1.859D+01  3.985D+03
  338  487     1     7  con    0   1.0D+00   5.6D-01  1.859D+01  3.985D+03
  339  489     1     7  bnd    1   2.8D-01   4.1D-01  1.860D+01  3.985D+03
  340  490     1     7  con    0   1.0D+00   6.3D-01  1.861D+01  3.985D+03
  341  491     1     7  con    0   1.0D+00   3.6D-01  1.861D+01  3.985D+03
  342  493     1     7  con    1   4.8D-01   4.0D-01  1.862D+01  3.985D+03
  343  495     1     7  con    1   4.8D-01   3.8D-01  1.862D+01  3.985D+03
  344  496     1     7  con    0   1.0D+00   5.0D-01  1.863D+01  3.985D+03
  345  497     1     7  con    0   1.0D+00   1.1D+00  1.863D+01  3.985D+03
  346  504     1     7  bnd    6   7.3D-04   4.5D-02  1.863D+01  3.985D+03
  347  505     1     7  con    0   1.0D+00   8.0D-01  1.864D+01  3.985D+03
  348  506     1     7  bnd    0   1.0D+00   9.0D-01  1.863D+01  3.985D+03
  349  507     1     8  con    0   1.0D+00   5.3D-01  1.863D+01  3.985D+03
  350  508     1     8  con    0   1.0D+00   8.4D-01  1.864D+01  3.985D+03
  351  510     1     8  con    1   2.2D-01   5.2D-01  1.864D+01  3.985D+03
  352  511     1     8  con    0   1.0D+00   7.0D-01  1.864D+01  3.985D+03
  353  512     1     8  con    0   1.0D+00   6.2D-01  1.865D+01  3.985D+03
  354  513     1     8  con    0   1.0D+00   9.9D-01  1.865D+01  3.984D+03
  355  514     1     8  con    0   1.0D+00   8.1D-01  1.249D+01  3.984D+03
  356  516     1     7  con    1   2.1D-01   5.7D-01  1.866D+01  3.984D+03
  357  518     2     8  con    1   5.3D-01   7.2D-01  1.867D+01  3.984D+03
  358  519     2     8  con    0   1.0D+00   6.8D-01  1.867D+01  3.984D+03
  359  520     1     8  con    0   1.0D+00   1.3D+00  1.867D+01  3.984D+03
  360  522     1     8  bnd    1   2.2D-01   8.2D-01  1.867D+01  3.984D+03
  361  523     1     8  con    0   1.0D+00   2.0D+00  1.868D+01  3.984D+03
  362  524     1     8  con    0   1.0D+00   2.3D-01  1.868D+01  3.984D+03
  363  525     1     8  bnd    0   1.0D+00   1.6D+00  1.868D+01  3.984D+03
  364  526     1     9  bnd    0   1.0D+00   2.0D-01  5.795D+00  3.984D+03
  365  527     1    10  con    0   1.0D+00   9.5D-02  1.594D+01  3.984D+03
  366  528     1     9  con    0   1.0D+00   1.1D-01  2.131D+01  3.984D+03
  367  529     1     7  bnd    0   1.0D+00   2.8D-01  2.131D+01  3.984D+03
  368  531     1     5  bnd    1   2.1D-01   5.3D-01  1.869D+01  3.984D+03
  369  532     1     9  con    0   1.0D+00   4.2D-01  1.869D+01  3.984D+03
  370  533     1     9  con    0   1.0D+00   1.5D-01  1.869D+01  3.984D+03
  371  534     1     9  con    0   1.0D+00   2.1D-01  1.869D+01  3.984D+03
  372  535     1     9  con    0   1.0D+00   9.9D-01  1.869D+01  3.984D+03
  373  536     1     9  con    0   1.0D+00   3.8D-01  1.870D+01  3.984D+03
  374  537     1     9  con    0   1.0D+00   2.2D-01  2.130D+01  3.984D+03
  375  539     1     8  bnd    1   4.8D-01   2.7D-01  2.265D+00  3.984D+03
  376  541     1     9  con    1   5.2D-01   2.0D-01  1.337D+01  3.984D+03
  377  543     1     9  con    1   5.0D+00   2.5D-01  1.678D+01  3.984D+03
  378  544     1     9  con    0   1.0D+00   3.7D-01  1.871D+01  3.984D+03
  379  545     1     9  con    0   1.0D+00   2.8D-01  8.160D+00  3.984D+03
  380  546     1     9  con    0   1.0D+00   4.6D-01  1.871D+01  3.984D+03
  381  547     1     9  con    0   1.0D+00   1.2D-01  9.957D-01  3.984D+03
  382  548     1     9  con    0   1.0D+00   5.2D-02  6.670D+00  3.984D+03
  383  549     1     9  con    0   1.0D+00   1.3D-01  1.840D+01  3.984D+03
  384  550     1     9  con    0   1.0D+00   1.9D-02  1.210D+01  3.984D+03
  385  551     1     9  con    0   1.0D+00   1.0D-01  2.008D+00  3.984D+03
  386  552     1     9  con    0   1.0D+00   5.1D-02  8.099D-01  3.984D+03
  387  553     1     9  con    0   1.0D+00   3.1D-02  2.224D+00  3.984D+03
  388  554     1     9  con    0   1.0D+00   3.3D-02  2.704D+00  3.984D+03
  389  555     1     9  con    0   1.0D+00   2.1D-02  9.025D+00  3.984D+03
  390  556     1     9  con    0   1.0D+00   6.8D-02  5.842D+00  3.984D+03
  391  557     1     9  con    0   1.0D+00   4.1D-02  8.469D+00  3.984D+03
  392  558     1     9  con    0   1.0D+00   1.4D-01  1.271D+01  3.984D+03
  393  559     1     9  con    0   1.0D+00   2.4D-01  1.350D+01  3.984D+03
  394  562     1     9  con    2   4.0D-02   2.1D-01  1.591D+01  3.984D+03
  395  563     1     9  con    0   1.0D+00   5.5D-01  1.872D+01  3.984D+03
  396  564     1     9  con    0   1.0D+00   1.1D+00  1.871D+01  3.984D+03
  397  565     1     9  con    0   1.0D+00   4.5D-01  2.187D+01  3.984D+03
  398  567     1     5  bnd    1   2.8D-01   1.0D+00  1.872D+01  3.984D+03
  399  569     1     9  con    1   2.0D-01   6.2D-01  1.872D+01  3.984D+03
  400  570     1     9  con    0   1.0D+00   4.6D-01  1.872D+01  3.984D+03
  401  571     1     9  con    0   1.0D+00   1.1D+00  1.872D+01  3.984D+03
  402  572     1     9  con    0   1.0D+00   8.1D-01  1.872D+01  3.984D+03
  403  573     1     9  con    0   1.0D+00   1.1D+00  1.873D+01  3.984D+03
  404  575     1     9  con    1   3.6D-01   4.1D-01  2.969D+00  3.984D+03
  405  576     1     9  bnd    0   1.0D+00   1.1D+00  1.872D+01  3.984D+03
  406  577     1    11  con    0   1.0D+00   1.0D+00  1.873D+01  3.984D+03
  407  578     1    10  con    0   1.0D+00   1.2D+00  1.873D+01  3.984D+03
  408  579     1    10  con    0   1.0D+00   5.9D-01  1.873D+01  3.984D+03
  409  581     1    10  con    1   1.3D-01   1.9D-01  1.873D+01  3.984D+03
  410  582     1    10  con    0   1.0D+00   3.2D-01  5.084D+00  3.984D+03
  411  584     1    10  con    1   3.6D-01   4.7D-01  1.873D+01  3.984D+03
  412  586     1    10  con    1   2.2D-01   4.5D-01  1.873D+01  3.984D+03
  413  587     1    10  con    0   1.0D+00   6.6D-01  1.873D+01  3.984D+03
  414  588     1    10  con    0   1.0D+00   3.8D-01  1.874D+01  3.984D+03
  415  589     1    10  bnd    0   1.0D+00   9.3D-01  1.874D+01  3.984D+03
  416  590     1    11  con    0   1.0D+00   7.1D-01  9.313D-01  3.984D+03
  417  591     1    11  con    0   1.0D+00   1.5D-02  1.182D+01  3.984D+03
  418  592     1    11  con    0   1.0D+00   5.7D-02  1.874D+01  3.984D+03
  419  593     1    11  con    0   1.0D+00   1.2D-01  1.874D+01  3.984D+03
  420  594     1    11  con    0   1.0D+00   1.3D-01  1.874D+01  3.984D+03
  421  595     1    11  con    0   1.0D+00   4.0D-01  1.874D+01  3.984D+03
  422  596     1    11  con    0   1.0D+00   3.7D-01  2.220D+01  3.984D+03
  423  598     1     3  bnd    1   3.3D-01   2.2D-01  8.098D-01  3.984D+03
  424  600     1    11  bnd    1   1.4D-01   3.7D-01  1.874D+01  3.984D+03
  425  601     1    11  con    0   1.0D+00   7.5D-01  1.874D+01  3.984D+03
  426  603     1    11  bnd    1   2.5D-01   7.6D-01  1.874D+01  3.984D+03
  427  604     1    11  con    0   1.0D+00   1.4D-01  1.875D+01  3.984D+03
  428  605     1    11  con    0   1.0D+00   3.6D-01  1.875D+01  3.984D+03
  429  607     1    11  con    1   3.2D-01   2.5D-01  1.875D+01  3.984D+03
  430  608     1    11  con    0   1.0D+00   8.1D-01  1.876D+01  3.984D+03
  431  610     1    11  bnd    1   2.6D-01   1.1D+00  1.876D+01  3.984D+03
  432  611     1    11  con    0   1.0D+00   4.5D-01  1.426D+01  3.984D+03
  433  613     1    10  bnd    1   2.9D-01   4.9D-01  1.876D+01  3.984D+03
  434  615     1    11  con    1   2.8D-01   3.1D-01  1.876D+01  3.984D+03
  435  616     1    11  con    0   1.0D+00   3.0D-01  1.876D+01  3.984D+03
  436  617     1    11  con    0   1.0D+00   5.6D-01  1.877D+01  3.984D+03
  437  618     1    11  con    0   1.0D+00   8.4D-01  1.877D+01  3.984D+03
  438  619     1    11  bnd    0   1.0D+00   1.0D+00  2.123D+01  3.984D+03
  439  622     1     5  bnd    2   7.1D-02   3.9D-01  1.877D+01  3.984D+03
  440  624     1    12  con    1   4.8D-01   5.1D-01  1.877D+01  3.984D+03
  441  625     1    12  con    0   1.0D+00   5.0D-01  1.877D+01  3.984D+03
  442  626     1    12  con    0   1.0D+00   7.5D-01  1.769D+01  3.984D+03
  443  628     1    12  bnd    1   2.6D-01   3.8D-01  1.877D+01  3.984D+03
  444  629     1    12  bnd    0   1.0D+00   5.7D-01  1.877D+01  3.984D+03
  445  630     1    13  con    0   1.0D+00   2.2D-01  1.877D+01  3.984D+03
  446  631     1    13  con    0   1.0D+00   6.1D-01  1.877D+01  3.984D+03
  447  632     1    13  con    0   1.0D+00   5.7D-01  5.426D+00  3.984D+03
  448  634     1    13  con    1   2.0D-01   4.5D-01  1.877D+01  3.984D+03
  449  636     1    13  con    1   3.9D-01   3.5D-01  1.877D+01  3.984D+03
  450  638     1    13  con    1   5.1D-01   4.4D-01  1.877D+01  3.984D+03
  451  639     1    13  con    0   1.0D+00   7.4D-01  1.878D+01  3.984D+03
  452  640     1    13  con    0   1.0D+00   4.4D-01  2.122D+01  3.984D+03
  453  642     1     5  bnd    1   3.3D-01   2.3D-01  1.878D+01  3.983D+03
  454  644     1    13  bnd    1   1.9D-01   3.6D-01  1.879D+01  3.983D+03
  455  645     1    13  con    0   1.0D+00   7.3D-02  1.879D+01  3.983D+03
  456  646     1    13  con    0   1.0D+00   1.1D-01  1.879D+01  3.983D+03
  457  648     1    13  con    1   4.4D-01   2.4D-01  1.879D+01  3.983D+03
  458  650     1    13  con    1   2.2D-01   2.3D-01  1.879D+01  3.983D+03
  459  651     1    13  con    0   1.0D+00   5.7D-01  1.880D+01  3.983D+03
  460  652     1    13  con    0   1.0D+00   5.9D-01  1.880D+01  3.983D+03
  461  654     1    13  con    1   4.8D-01   4.2D-01  1.880D+01  3.983D+03
  462  655     1    13  con    0   1.0D+00   8.0D-01  1.880D+01  3.983D+03
  463  656     1    13  con    0   1.0D+00   1.1D+00  1.880D+01  3.983D+03
  464  658     1    13  con    1   3.0D-01   6.9D-01  1.881D+01  3.983D+03
  465  660     1    13  con    1   5.3D-01   8.7D-01  1.881D+01  3.983D+03
  466  661     1    13  con    0   1.0D+00   9.8D-01  1.881D+01  3.983D+03
  467  663     1    13  con    1   3.4D-01   2.1D+00  1.881D+01  3.983D+03
  468  664     1    13  con    0   1.0D+00   1.5D+00  1.882D+01  3.983D+03
  469  667     1    13  con    2   9.5D-02   5.2D-01  1.882D+01  3.983D+03
  470  668     1    13  con    0   1.0D+00   1.5D+00  1.882D+01  3.983D+03
  471  669     1    13  con    0   1.0D+00   1.0D+00  1.881D+01  3.983D+03
  472  670     1    13  con    0   1.0D+00   3.5D-01  1.881D+01  3.983D+03
  473  671     1    13  con    0   1.0D+00   6.5D-01  1.881D+01  3.983D+03
  474  672     1    13  con    0   1.0D+00   2.9D-01  1.881D+01  3.983D+03
  475  674     1    13  con    1   4.3D-01   1.2D+00  1.881D+01  3.983D+03
  476  675     1    13  con    0   1.0D+00   2.6D+00  1.881D+01  3.983D+03
  477  676     1    13  con    0   1.0D+00   3.4D+00  1.882D+01  3.983D+03
  478  678     1    13  bnd    1   4.3D-01   1.5D+00  1.882D+01  3.983D+03
  479  680     1    13  con    1   4.7D-01   4.0D+00  1.882D+01  3.983D+03
  480  682     1    13  con    1   2.7D-01   1.6D+00  1.882D+01  3.983D+03
  481  684     1    13  con    1   3.0D-01   2.1D+00  1.882D+01  3.983D+03
  482  686     1    13  bnd    1   3.1D-01   2.5D+00  1.882D+01  3.983D+03
  483  688     1    13  bnd    1   1.9D-01   1.3D+00  1.883D+01  3.983D+03
  484  690     1    13  con    1   4.2D-01   3.6D-01  1.882D+01  3.983D+03
  485  692     1    13  con    1   1.4D-01   1.5D-01  5.330D+00  3.983D+03
  486  693     1    13  con    0   1.0D+00   5.9D-01  1.882D+01  3.983D+03
  487  695     1    13  con    1   3.6D-01   2.6D-01  1.883D+01  3.983D+03
  488  696     1    13  con    0   1.0D+00   5.2D-01  1.883D+01  3.982D+03
  489  697     1    13  con    0   1.0D+00   3.4D-01  1.884D+01  3.982D+03
  490  699     1    13  con    1   1.9D-01   2.5D-01  1.884D+01  3.982D+03
  491  700     1    13  con    0   1.0D+00   3.5D-01  1.884D+01  3.982D+03
  492  701     1    13  con    0   1.0D+00   1.6D-01  1.884D+01  3.982D+03
  493  702     1    13  con    0   1.0D+00   2.9D-01  1.885D+01  3.982D+03
  494  704     1    13  con    1   2.8D-01   1.9D-01  1.885D+01  3.982D+03
  495  705     1    13  con    0   1.0D+00   3.4D-01  1.886D+01  3.982D+03
  496  706     1    13  con    0   1.0D+00   4.7D-01  1.886D+01  3.982D+03
  497  708     1    13  bnd    1   3.1D-01   3.1D-01  1.887D+01  3.982D+03
  498  710     1    13  con    1   3.7D-01   2.5D-01  1.887D+01  3.982D+03
  499  711     1    13  bnd    0   1.0D+00   6.0D-01  1.888D+01  3.982D+03
  500  712     1    14  con    0   1.0D+00   4.9D-01  1.888D+01  3.982D+03
  501  714     1    14  bnd    1   4.0D-01   4.7D-01  1.888D+01  3.981D+03
  502  715     1    14  con    0   1.0D+00   7.8D-01  1.889D+01  3.981D+03
  503  716     1    14  con    0   1.0D+00   4.4D-01  1.248D+01  3.981D+03
  504  718     1    14  con    1   4.1D-01   5.6D-01  1.889D+01  3.981D+03
  505  720     1    14  con    1   4.4D-01   3.7D-01  1.889D+01  3.981D+03
  506  721     1    14  con    0   1.0D+00   3.5D-01  1.889D+01  3.981D+03
  507  722     1    14  con    0   1.0D+00   4.7D-01  1.889D+01  3.981D+03
  508  724     1    14  con    1   2.5D-01   3.3D-01  1.889D+01  3.981D+03
  509  725     1    14  con    0   1.0D+00   5.6D-01  1.889D+01  3.981D+03
  510  726     1    14  con    0   1.0D+00   1.4D-01  1.889D+01  3.981D+03
  511  727     1    14  con    0   1.0D+00   4.3D-01  1.889D+01  3.981D+03
  512  728     1    14  con    0   1.0D+00   1.8D-01  1.889D+01  3.981D+03
  513  729     1    14  con    0   1.0D+00   1.3D-01  1.183D+01  3.981D+03
  514  731     1    14  con    1   4.3D-01   1.5D-01  1.890D+01  3.981D+03
  515  732     1    14  con    0   1.0D+00   9.0D-02  7.426D+00  3.981D+03
  516  733     1    14  con    0   1.0D+00   9.1D-02  2.110D+01  3.981D+03
  517  734     1    12  bnd    0   1.0D+00   2.6D-01  1.890D+01  3.981D+03
  518  735     1    14  con    0   1.0D+00   4.9D-01  1.373D+01  3.981D+03
  519  736     1    14  con    0   1.0D+00   8.0D-01  1.891D+01  3.981D+03
  520  738     1    14  bnd    1   4.6D-01   6.5D-01  2.108D+01  3.981D+03
  521  740     1    14  bnd    1   1.1D-01   1.5D-01  1.892D+01  3.981D+03
  522  741     1    14  con    0   1.0D+00   1.4D-01  1.892D+01  3.981D+03
  523  743     1    14  con    1   4.5D-01   3.3D-01  1.892D+01  3.981D+03
  524  744     1    14  con    0   1.0D+00   4.9D-01  1.892D+01  3.981D+03
  525  745     1    14  bnd    0   1.0D+00   2.3D-01  2.108D+01  3.981D+03
  526  747     1    13  bnd    1   5.1D-01   2.5D-01  1.892D+01  3.981D+03
  527  748     1    15  con    0   1.0D+00   1.5D-01  1.892D+01  3.981D+03
  528  749     1    15  con    0   1.0D+00   1.4D-01  1.589D+01  3.981D+03
  529  750     1    15  con    0   1.0D+00   2.9D-01  9.871D+00  3.981D+03
  530  751     1    15  con    0   1.0D+00   5.2D-01  1.892D+01  3.981D+03
  531  753     1    15  bnd    1   4.3D-01   4.6D-01  1.893D+01  3.981D+03
  532  754     1    15  bnd    0   1.0D+00   1.3D+00  2.218D+01  3.981D+03
  533  760     1     1  bnd    5   5.1D-03   1.4D-01  2.218D+01  3.981D+03
  534  762     2     6  bnd    1   5.1D-01   2.8D-01  1.893D+01  3.981D+03
  535  764     1    14  con    1   1.9D-01   1.6D-01  1.893D+01  3.981D+03
  536  765     1    14  con    0   1.0D+00   2.6D-01  1.893D+01  3.981D+03
  537  766     1    14  bnd    0   1.0D+00   3.1D-01  1.894D+01  3.981D+03
  538  767     1    15  bnd    0   1.0D+00   5.2D-01  1.894D+01  3.980D+03
  539  768     1    16  con    0   1.0D+00   1.3D-01  1.895D+01  3.980D+03
  540  769     1    16  bnd    0   1.0D+00   4.7D-01  1.895D+01  3.980D+03
  541  770     1    17  bnd    0   1.0D+00   5.6D-01  2.225D+01  3.980D+03
  542  772     1     2  bnd    1   1.5D-01   2.8D-01  1.896D+01  3.980D+03
  543  773     1    18  con    0   1.0D+00   2.4D-01  1.896D+01  3.980D+03
  544  774     1    18  con    0   1.0D+00   6.7D-01  1.896D+01  3.980D+03
  545  775     1    18  con    0   1.0D+00   1.9D-01  1.896D+01  3.980D+03
  546  776     1    18  bnd    0   1.0D+00   2.5D-01  1.897D+01  3.980D+03
  547  777     1    19  con    0   1.0D+00   2.8D-02  1.897D+01  3.980D+03
  548  778     1    19  con    0   1.0D+00   2.5D-01  1.898D+01  3.980D+03
  549  779     1    19  con    0   1.0D+00   2.9D-01  1.899D+01  3.980D+03
  550  780     1    19  con    0   1.0D+00   3.4D-01  1.899D+01  3.980D+03
  551  781     1    19  con    0   1.0D+00   3.6D-01  1.567D+01  3.980D+03
  552  783     1    19  con    1   1.0D-01   1.6D-01  1.900D+01  3.980D+03
  553  784     1    19  con    0   1.0D+00   1.1D-01  1.900D+01  3.980D+03
  554  785     1    19  con    0   1.0D+00   2.2D-01  1.901D+01  3.980D+03
  555  786     1    19  con    0   1.0D+00   3.9D-01  2.204D+01  3.980D+03
  556  788     1     9  bnd    1   2.0D-01   2.0D-01  1.901D+01  3.980D+03
  557  790     1    19  con    1   3.9D-01   1.3D-01  1.901D+01  3.980D+03
  558  791     1    19  con    0   1.0D+00   1.5D-01  1.902D+01  3.980D+03
  559  792     1    19  con    0   1.0D+00   1.4D-01  1.902D+01  3.980D+03
  560  793     1    19  con    0   1.0D+00   3.4D-01  1.903D+01  3.980D+03
  561  794     1    19  con    0   1.0D+00   3.5D-01  2.244D+01  3.980D+03
  562  796     1     7  bnd    1   1.8D-01   2.6D-01  1.904D+01  3.980D+03
  563  798     1    19  con    1   3.7D-01   2.0D-01  1.904D+01  3.980D+03
  564  799     1    19  con    0   1.0D+00   3.6D-01  1.904D+01  3.980D+03
  565  800     1    19  con    0   1.0D+00   3.8D-01  1.904D+01  3.980D+03
  566  801     1    19  con    0   1.0D+00   5.9D-01  1.905D+01  3.979D+03
  567  802     1    19  con    0   1.0D+00   3.6D-01  1.905D+01  3.979D+03
  568  804     1    19  con    1   3.7D-01   3.6D-01  1.906D+01  3.979D+03
  569  805     1    19  con    0   1.0D+00   5.4D-01  1.906D+01  3.979D+03
  570  806     1    19  con    0   1.0D+00   3.2D-01  1.906D+01  3.979D+03
  571  808     1    19  con    1   3.5D-01   3.2D-01  1.907D+01  3.979D+03
  572  810     1    19  con    1   3.6D-01   4.4D-01  1.907D+01  3.979D+03
  573  811     1    19  con    0   1.0D+00   5.1D-01  1.907D+01  3.979D+03
  574  812     1    19  con    0   1.0D+00   6.3D-01  1.907D+01  3.979D+03
  575  814     1    19  bnd    1   4.9D-01   3.8D-01  1.907D+01  3.979D+03
  576  815     1    19  con    0   1.0D+00   3.7D-01  1.907D+01  3.979D+03
  577  816     1    19  bnd    0   1.0D+00   2.6D-01  5.309D+00  3.979D+03
  578  817     1    20  con    0   1.0D+00   2.3D-01  1.908D+01  3.979D+03
  579  818     1    20  con    0   1.0D+00   2.5D-01  1.908D+01  3.979D+03
  580  819     1    20  con    0   1.0D+00   1.4D-02  1.908D+01  3.979D+03
  581  820     1    20  con    0   1.0D+00   5.6D-02  7.388D+00  3.979D+03
  582  821     1    20  con    0   1.0D+00   6.4D-02  7.962D-01  3.979D+03
  583  822     1    20  con    0   1.0D+00   1.2D-01  2.412D+00  3.979D+03
  584  823     1    20  con    0   1.0D+00   1.2D-01  1.908D+01  3.979D+03
  585  824     1    20  con    0   1.0D+00   3.3D-01  1.909D+01  3.979D+03
  586  825     1    20  con    0   1.0D+00   3.9D-01  1.419D+01  3.979D+03
  587  827     1    20  con    1   2.2D-01   1.3D-01  1.909D+01  3.979D+03
  588  828     1    20  con    0   1.0D+00   2.4D-01  1.909D+01  3.979D+03
  589  830     1    20  con    1   1.0D-01   1.7D-01  1.909D+01  3.979D+03
  590  831     1    20  con    0   1.0D+00   1.1D-01  1.909D+01  3.979D+03
  591  832     1    20  con    0   1.0D+00   1.0D-01  1.909D+01  3.979D+03
  592  833     1    20  con    0   1.0D+00   1.6D-01  1.910D+01  3.979D+03
  593  834     1    20  con    0   1.0D+00   6.1D-02  4.799D+00  3.979D+03
  594  836     1    20  con    1   1.6D-01   4.8D-02  1.910D+01  3.979D+03
  595  837     1    20  con    0   1.0D+00   7.1D-02  1.910D+01  3.979D+03
  596  838     1    20  con    0   1.0D+00   4.5D-02  1.450D+01  3.979D+03
  597  839     1    20  con    0   1.0D+00   5.2D-02  1.910D+01  3.979D+03
  598  840     1    20  con    0   1.0D+00   3.1D-02  4.305D+00  3.979D+03
  599  841     1    20  con    0   1.0D+00   3.5D-02  1.507D+01  3.979D+03
  600  842     1    20  con    0   1.0D+00   1.4D-02  1.151D+00  3.979D+03
  601  843     1    20  con    0   1.0D+00   1.0D-02  8.257D-01  3.979D+03
  602  844     1    20  con    0   1.0D+00   5.6D-03  8.250D-01  3.979D+03
  603  846     1    20  con    1   5.0D+00   1.6D-01  1.452D+01  3.979D+03
  604  847     1    20  con    0   1.0D+00   4.8D-01  1.911D+01  3.979D+03
  605  848     1    20  bnd    0   1.0D+00   4.8D-01  1.605D+01  3.979D+03
  606  849     1    21  con    0   1.0D+00   2.4D-01  3.049D+00  3.979D+03
  607  851     1    21  con    1   3.9D-01   4.0D-01  1.586D+00  3.979D+03
  608  853     1    21  con    1   2.5D-01   2.8D-01  1.910D+01  3.979D+03
  609  855     1    21  con    1   3.2D-01   3.2D-01  1.909D+01  3.979D+03
  610  857     1    21  con    1   4.7D-01   2.3D-01  1.909D+01  3.979D+03
  611  860     1    21  con    2   3.1D-02   2.7D-01  1.908D+01  3.979D+03
  612  861     1    21  con    0   1.0D+00   5.0D-01  1.908D+01  3.979D+03
  613  862     1    21  con    0   1.0D+00   2.6D-01  1.907D+01  3.979D+03
  614  864     1    21  con    1   1.4D-01   9.4D-02  1.907D+01  3.979D+03
  615  865     1    21  con    0   1.0D+00   5.6D-01  1.907D+01  3.979D+03
  616  866     1    21  con    0   1.0D+00   1.9D-01  1.907D+01  3.979D+03
  617  867     1    21  con    0   1.0D+00   4.6D-01  1.907D+01  3.979D+03
  618  869     1    21  con    1   3.9D-01   3.0D-01  1.907D+01  3.979D+03
  619  870     1    21  con    0   1.0D+00   5.2D-01  1.906D+01  3.979D+03
  620  871     1    21  con    0   1.0D+00   7.7D-02  1.906D+01  3.979D+03
  621  872     1    21  con    0   1.0D+00   3.0D-01  1.905D+01  3.979D+03
  622  873     1    21  con    0   1.0D+00   6.9D-02  1.905D+01  3.979D+03
  623  874     1    21  con    0   1.0D+00   1.5D-01  1.904D+01  3.979D+03
  624  876     1    21  con    1   4.3D-01   1.3D-01  1.904D+01  3.979D+03
  625  877     1    21  con    0   1.0D+00   1.7D-01  1.904D+01  3.979D+03
  626  878     1    21  con    0   1.0D+00   1.3D+00  1.903D+01  3.978D+03
  627  879     1    21  con    0   1.0D+00   3.0D-01  1.903D+01  3.978D+03
  628  880     1    21  con    0   1.0D+00   5.9D-01  1.901D+01  3.978D+03
  629  882     1    21  con    1   2.6D-01   2.2D-01  2.271D+01  3.978D+03
  630  884     1     8  bnd    1   1.7D-01   2.6D-01  1.901D+01  3.978D+03
  631  886     1    21  con    1   4.4D-01   1.2D-01  1.900D+01  3.978D+03
  632  887     1    21  con    0   1.0D+00   1.5D-01  1.900D+01  3.978D+03
  633  888     1    21  con    0   1.0D+00   1.4D-01  1.900D+01  3.978D+03
  634  889     1    21  con    0   1.0D+00   2.1D-01  1.899D+01  3.978D+03
  635  890     1    21  con    0   1.0D+00   3.2D-01  1.218D+01  3.978D+03
  636  892     1    21  con    1   1.7D-01   1.2D-01  1.898D+01  3.978D+03
  637  894     1    21  con    1   4.6D-01   9.9D-02  1.898D+01  3.978D+03
  638  895     1    21  con    0   1.0D+00   1.4D-01  1.898D+01  3.978D+03
  639  896     1    21  con    0   1.0D+00   1.1D-01  1.897D+01  3.978D+03
  640  898     1    21  con    1   4.6D-01   2.2D-01  1.897D+01  3.978D+03
  641  899     1    21  con    0   1.0D+00   3.7D-01  1.897D+01  3.978D+03
  642  900     1    21  con    0   1.0D+00   3.2D-01  1.796D+01  3.978D+03
  643  902     1    21  con    1   3.3D-01   1.8D-01  1.896D+01  3.978D+03
  644  904     1    21  con    1   2.2D-01   1.9D-01  1.896D+01  3.978D+03
  645  905     1    21  con    0   1.0D+00   1.9D-01  1.896D+01  3.978D+03
  646  906     1    21  con    0   1.0D+00   7.5D-02  1.896D+01  3.978D+03
  647  907     1    21  con    0   1.0D+00   1.9D-01  1.896D+01  3.978D+03
